Component ID,Batch,24h Leakage (µA),Allowed Limit (µA),Change from 0h to 24h (µA),Status,Why?,Suggested Action
MLCC_C007117,MLCC_B042,0.1271,1.3,0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007118,MLCC_B016,0.2768,1.3,-0.0247,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007119,MLCC_B012,0.1605,1.3,-0.0166,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007120,MLCC_B047,0.1654,1.3,-0.0031,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007121,MLCC_B015,0.0181,0.12,-0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007123,MLCC_B033,0.0346,0.25,-0.0068,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007124,MLCC_B025,0.0726,1.3,-0.0078,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007127,MLCC_B008,0.2453,0.7,0.1899,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007128,MLCC_B024,0.0288,0.25,-0.0028,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007131,MLCC_B047,0.1615,1.3,0.0312,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007132,MLCC_B057,0.1628,1.3,-0.0326,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007133,MLCC_B036,0.1555,1.3,-0.0072,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007138,MLCC_B010,0.0727,0.7,-0.0041,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007140,MLCC_B025,0.9513,1.3,0.757,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007143,MLCC_B021,0.0137,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007144,MLCC_B053,0.0868,0.7,-0.0143,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007145,MLCC_B012,0.1172,1.3,-0.0138,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007146,MLCC_B049,0.058,0.25,-0.009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007149,MLCC_B025,0.1575,1.3,0.0232,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007151,MLCC_B051,0.1394,0.7,-0.0127,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007154,MLCC_B043,0.0265,0.25,-0.0037,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007155,MLCC_B051,0.0947,0.7,-0.0107,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007157,MLCC_B054,0.1848,0.7,0.0099,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007160,MLCC_B005,0.0808,0.7,-0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007162,MLCC_B037,0.0206,0.25,-0.0014,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007163,MLCC_B054,0.0637,0.7,-0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007164,MLCC_B039,0.0236,0.12,-0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007166,MLCC_B041,0.0154,0.12,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007169,MLCC_B047,0.1651,1.3,-0.0225,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007170,MLCC_B028,0.1107,1.3,-0.0272,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007171,MLCC_B003,0.1043,0.7,-0.0202,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007172,MLCC_B008,0.071,0.7,-0.0121,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007173,MLCC_B054,0.0551,0.7,-0.0067,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007174,MLCC_B057,0.1139,1.3,-0.0136,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007175,MLCC_B053,0.0857,0.7,-0.0043,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007178,MLCC_B037,0.0345,0.25,0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007180,MLCC_B024,0.0438,0.25,-0.0056,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007182,MLCC_B053,0.1215,0.7,0.0096,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007184,MLCC_B036,0.1043,1.3,-0.0261,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007185,MLCC_B033,0.037,0.25,0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007186,MLCC_B046,0.0182,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007188,MLCC_B028,0.1368,1.3,-0.0355,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007189,MLCC_B057,0.1052,1.3,-0.0091,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007190,MLCC_B028,0.102,1.3,-0.0122,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007191,MLCC_B047,0.2468,1.3,0.0285,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007192,MLCC_B039,0.0163,0.12,-0.0017,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007193,MLCC_B024,0.0539,0.25,-0.0091,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007196,MLCC_B025,0.2027,1.3,-0.0416,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007197,MLCC_B024,0.041,0.25,-0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007199,MLCC_B045,0.0383,0.25,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007201,MLCC_B024,0.0663,0.25,-0.0059,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007204,MLCC_B008,0.0848,0.7,-0.0093,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007205,MLCC_B053,0.1441,0.7,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007206,MLCC_B042,0.1594,1.3,-0.0139,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007207,MLCC_B058,0.1879,1.3,-0.0261,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007209,MLCC_B009,0.0118,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007212,MLCC_B024,0.0289,0.25,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007213,MLCC_B036,0.2608,1.3,-0.0445,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007214,MLCC_B025,0.1071,1.3,0.0073,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007215,MLCC_B022,0.0819,0.7,-0.0114,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007218,MLCC_B027,0.0216,0.25,-0.0021,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007220,MLCC_B011,0.0091,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007221,MLCC_B044,0.1267,0.12,0.1032,ABOVE LIMIT,"24h leakage is 0.1267 µA, above the allowed limit of 0.1200 µA.",CHECK / RETEST
MLCC_C007222,MLCC_B045,0.0226,0.25,0.0069,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007223,MLCC_B021,0.0093,0.12,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007224,MLCC_B036,0.1283,1.3,-0.0059,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007225,MLCC_B024,0.0682,0.25,-0.0044,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007226,MLCC_B008,0.0766,0.7,-0.0142,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007229,MLCC_B036,0.2971,1.3,-0.0622,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007230,MLCC_B045,0.038,0.25,0.0057,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007231,MLCC_B053,0.0676,0.7,-0.0146,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007233,MLCC_B008,0.1101,0.7,-0.0118,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007234,MLCC_B009,0.0089,0.12,-0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007237,MLCC_B011,0.0155,0.12,-0.0004,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007238,MLCC_B011,0.0108,0.12,0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007239,MLCC_B015,0.02,0.12,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007241,MLCC_B036,0.1744,1.3,-0.0118,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007242,MLCC_B054,0.1869,0.7,0.1014,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007243,MLCC_B010,0.1162,0.7,0.0035,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007244,MLCC_B021,0.0178,0.12,-0.0009,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007245,MLCC_B011,0.0205,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007246,MLCC_B009,0.0094,0.12,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007247,MLCC_B021,0.0105,0.12,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007248,MLCC_B008,0.0844,0.7,-0.0146,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007250,MLCC_B011,0.0186,0.12,0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007255,MLCC_B009,0.0127,0.12,0.0,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007256,MLCC_B025,0.1942,1.3,-0.0384,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007258,MLCC_B027,0.0242,0.25,-0.0016,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007259,MLCC_B014,0.0092,0.12,-0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007260,MLCC_B011,0.0103,0.12,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007261,MLCC_B041,0.0132,0.12,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007263,MLCC_B007,0.0247,0.25,-0.0023,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007264,MLCC_B054,0.0795,0.7,-0.0119,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007266,MLCC_B050,0.0356,0.25,-0.0063,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007267,MLCC_B045,0.0255,0.25,-0.0071,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007268,MLCC_B027,0.0379,0.25,-0.003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007269,MLCC_B057,0.0622,1.3,-0.0115,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007270,MLCC_B016,0.1039,1.3,-0.0116,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007271,MLCC_B012,0.1625,1.3,-0.0141,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007275,MLCC_B013,0.0831,0.7,0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007277,MLCC_B046,0.0265,0.12,-0.0042,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007279,MLCC_B027,0.0409,0.25,-0.0019,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007281,MLCC_B047,0.1899,1.3,-0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007282,MLCC_B033,0.0333,0.25,0.0086,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007283,MLCC_B015,0.0151,0.12,-0.0057,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007287,MLCC_B016,0.2083,1.3,-0.0225,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007288,MLCC_B008,0.1095,0.7,-0.0247,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007289,MLCC_B012,0.1501,1.3,-0.0063,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007292,MLCC_B028,0.2361,1.3,-0.0305,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007293,MLCC_B003,0.0843,0.7,-0.015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007294,MLCC_B044,0.0102,0.12,-0.0012,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007296,MLCC_B009,0.0259,0.12,0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007297,MLCC_B042,0.0795,1.3,-0.0208,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007298,MLCC_B014,0.0174,0.12,0.0,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007300,MLCC_B003,0.1272,0.7,0.0305,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007301,MLCC_B021,0.0173,0.12,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007304,MLCC_B003,0.0702,0.7,-0.007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007305,MLCC_B005,0.0592,0.7,-0.0057,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007306,MLCC_B009,0.023,0.12,-0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007309,MLCC_B044,0.0082,0.12,-0.0003,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007310,MLCC_B044,0.0192,0.12,-0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007312,MLCC_B011,0.0201,0.12,0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007313,MLCC_B010,0.0901,0.7,-0.0101,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007314,MLCC_B007,0.0515,0.25,-0.0083,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007317,MLCC_B058,0.1605,1.3,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007319,MLCC_B012,0.0993,1.3,-0.0197,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007320,MLCC_B007,0.035,0.25,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007321,MLCC_B037,0.0388,0.25,-0.0061,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007322,MLCC_B045,0.0253,0.25,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007327,MLCC_B053,0.1192,0.7,0.0483,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007328,MLCC_B009,0.0188,0.12,-0.0005,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007329,MLCC_B054,0.8712,0.7,-0.0352,ABOVE LIMIT,"24h leakage is 0.8712 µA, above the allowed limit of 0.7000 µA.",CHECK / RETEST
MLCC_C007330,MLCC_B007,0.0387,0.25,-0.0055,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007331,MLCC_B016,0.1013,1.3,-0.0382,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007334,MLCC_B046,0.017,0.12,0.0033,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007336,MLCC_B046,0.0187,0.12,0.0002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007337,MLCC_B012,0.1023,1.3,-0.0385,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007339,MLCC_B058,0.1181,1.3,-0.0232,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007340,MLCC_B025,0.1522,1.3,-0.0096,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007342,MLCC_B012,0.1324,1.3,-0.0145,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007343,MLCC_B036,0.3487,1.3,0.13,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007344,MLCC_B008,0.0824,0.7,-0.0054,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007345,MLCC_B027,0.0305,0.25,0.0006,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007346,MLCC_B037,0.0339,0.25,0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007353,MLCC_B015,0.0147,0.12,-0.002,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007354,MLCC_B010,0.0972,0.7,-0.0134,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007355,MLCC_B022,0.2158,0.7,0.0066,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007357,MLCC_B014,0.0115,0.12,-0.0025,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007358,MLCC_B012,0.0726,1.3,-0.0106,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007360,MLCC_B010,0.0587,0.7,-0.0225,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007362,MLCC_B057,0.0854,1.3,-0.0085,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007363,MLCC_B022,0.114,0.7,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007366,MLCC_B046,0.1419,0.12,0.0008,ABOVE LIMIT,"24h leakage is 0.1419 µA, above the allowed limit of 0.1200 µA.",CHECK / RETEST
MLCC_C007369,MLCC_B014,0.0123,0.12,-0.0001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007374,MLCC_B007,0.0304,0.25,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007376,MLCC_B044,0.211,0.12,0.2013,ABOVE LIMIT,"24h leakage is 0.2110 µA, above the allowed limit of 0.1200 µA.",CHECK / RETEST
MLCC_C007378,MLCC_B043,0.02,0.25,-0.0007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007379,MLCC_B005,0.0342,0.7,-0.0066,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007380,MLCC_B051,0.0435,0.7,-0.0063,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007381,MLCC_B051,0.0676,0.7,-0.0072,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007384,MLCC_B051,0.0588,0.7,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007385,MLCC_B022,0.0542,0.7,-0.001,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007386,MLCC_B041,0.0688,0.12,0.0572,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007387,MLCC_B044,0.0153,0.12,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007390,MLCC_B022,0.1108,0.7,0.0362,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007391,MLCC_B047,0.1924,1.3,-0.0364,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007395,MLCC_B042,0.1299,1.3,-0.0249,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007396,MLCC_B043,0.0184,0.25,-0.007,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007398,MLCC_B013,0.0663,0.7,-0.0117,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007400,MLCC_B022,0.2844,0.7,0.196,CHECK / MONITOR,The 24h reading is unusually high compared with other components in the same batch.,MONITOR
MLCC_C007401,MLCC_B046,0.014,0.12,-0.0022,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007405,MLCC_B036,0.1934,1.3,-0.0323,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007407,MLCC_B050,0.0333,0.25,-0.0018,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007408,MLCC_B051,0.0835,0.7,-0.0029,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007409,MLCC_B043,0.0356,0.25,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007410,MLCC_B005,0.0526,0.7,-0.0039,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007411,MLCC_B039,0.0133,0.12,-0.0008,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007412,MLCC_B050,0.0215,0.25,0.0048,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007413,MLCC_B036,0.1525,1.3,-0.0081,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007414,MLCC_B058,0.1493,1.3,-0.0306,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007419,MLCC_B005,0.0685,0.7,-0.0015,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007420,MLCC_B014,0.0075,0.12,-0.0011,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007421,MLCC_B007,0.0559,0.25,-0.0049,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
MLCC_C007422,MLCC_B014,0.012,0.12,-0.0013,NORMAL,The 24h reading is within the allowed limit and is not unusually high for its batch.,NO EARLY WARNING
